 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 957 P: 2000 St: 505 W: 1887 R: 140 L: 0 Se: 6 T: 0 MinC: 139 MaxC: 145 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 957 P: 2000 St: 464 W: 1887 R: 140 L: 0 Se: 6 T: 0 MinC: 139 MaxC: 145 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 957 P: 2000 St: 423 W: 1887 R: 140 L: 0 Se: 6 T: 0 MinC: 139 MaxC: 145 sS: 15 sZ: 56 aZ: 70 aE: 5 Modulliste: (Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 4274 Sch: 935 P: 2000 St: 513 W: 1516 R: 143 L: 0 Se: 5 T: 0 MinC: 147 MaxC: 152 sS: 15 sZ: 56 aZ: 100 aE: 5 Modulliste: (Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 935 P: 2000 St: 538 W: 2066 R: 103 L: 0 Se: 5 T: 0 MinC: 142 MaxC: 145 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 4188 Sch: 935 P: 2000 St: 472 W: 1516 R: 143 L: 0 Se: 5 T: 0 MinC: 147 MaxC: 152 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (Materiefaltungsgenerator, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 935 P: 2000 St: 497 W: 2066 R: 103 L: 0 Se: 5 T: 0 MinC: 142 MaxC: 145 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Materiefaltungsgenerator, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 4102 Sch: 935 P: 2000 St: 431 W: 1516 R: 143 L: 0 Se: 5 T: 0 MinC: 147 MaxC: 152 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Materiefaltungsgenerator, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 935 P: 2000 St: 456 W: 2066 R: 103 L: 0 Se: 5 T: 0 MinC: 142 MaxC: 145 sS: 15 sZ: 56 aZ: 70 aE: 5 Modulliste: (Materiefaltungsgenerator, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 4274 Sch: 913 P: 2000 St: 546 W: 1695 R: 106 L: 0 Se: 4 T: 0 MinC: 150 MaxC: 152 sS: 15 sZ: 56 aZ: 100 aE: 5 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 913 P: 2000 St: 571 W: 2245 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
