 Module: 20 TL: 11 KP: 77 Aw: 4149 Sch: 911 P: 1352 St: 387 W: 755 R: 211 L: 0 sS: 15 aZ: 14 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4026 Sch: 911 P: 1368 St: 226 W: 743 R: 257 L: 0 sS: 15 aZ: 15 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1280 St: 441 W: 786 R: 148 L: 0 sS: 15 aZ: 14 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1368 St: 206 W: 1336 R: 108 L: 0 sS: 15 aZ: 14 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1296 St: 231 W: 986 R: 108 L: 0 sS: 15 aZ: 11 Modulliste: (Energiepanzer, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1456 St: 201 W: 1026 R: 108 L: 0 sS: 15 aZ: 14 Modulliste: (Iridiumkristallskomplex, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1384 St: 226 W: 676 R: 108 L: 0 sS: 15 aZ: 11 Modulliste: (Iridiumkristallskomplex, Energiepanzer, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4026 Sch: 911 P: 1056 St: 216 W: 1023 R: 217 L: 0 sS: 15 aZ: 15 Modulliste: (Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 77 Aw: 4026 Sch: 911 P: 1144 St: 211 W: 713 R: 217 L: 0 sS: 15 aZ: 15 Modulliste: (Iridiumkristallskomplex, Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, TSMLIM-Interface, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1056 St: 426 W: 756 R: 108 L: 0 sS: 15 aZ: 14 Modulliste: (Iridiumkristallskomplex, Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1072 St: 216 W: 956 R: 68 L: 0 sS: 15 aZ: 11 Modulliste: (Iridiumkristallskomplex, Iridiumkristallskomplex, Iridiumkristallskomplex, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, photonischer Absorber)
