 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8802 St: 376 W: 848 R: 3520 L: 0 Se: 1 T: 0 sS: 13 sZ: 94 aZ: 69 Modulliste: (TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8242 St: 401 W: 1398 R: 3480 L: 0 Se: 1 T: 0 sS: 13 sZ: 91 aZ: 66 Modulliste: (TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 29 Aw: 0 Sch: 11 P: 8242 St: 401 W: 925 R: 3520 L: 0 Se: 1 T: 0 sS: 9 sZ: 91 aZ: 66 Modulliste: (Stoﬂenergiegenerator, TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 115 Sch: 11 P: 8242 St: 401 W: 848 R: 3520 L: 0 Se: 2 T: 0 sS: 13 sZ: 91 aZ: 69 Modulliste: (Cyborg Panther, TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8328 St: 387 W: 1071 R: 3480 L: 0 Se: 1 T: 0 sS: 13 sZ: 91 aZ: 66 Modulliste: (Sicherheitsschotten, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8414 St: 373 W: 744 R: 3480 L: 0 Se: 1 T: 0 sS: 13 sZ: 91 aZ: 66 Modulliste: (Sicherheitsschotten, Sicherheitsschotten, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8702 St: 376 W: 778 R: 3560 L: 0 Se: 1 T: 0 sS: 11 sZ: 94 aZ: 69 Modulliste: (Energieleitungsummantlung, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8142 St: 401 W: 1328 R: 3520 L: 0 Se: 1 T: 0 sS: 11 sZ: 91 aZ: 66 Modulliste: (Energieleitungsummantlung, TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 29 Aw: 0 Sch: 11 P: 8142 St: 401 W: 855 R: 3560 L: 0 Se: 1 T: 0 sS: 7 sZ: 91 aZ: 66 Modulliste: (Energieleitungsummantlung, Stoﬂenergiegenerator, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 115 Sch: 11 P: 8142 St: 401 W: 778 R: 3560 L: 0 Se: 2 T: 0 sS: 11 sZ: 91 aZ: 69 Modulliste: (Energieleitungsummantlung, Cyborg Panther, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8228 St: 387 W: 1001 R: 3520 L: 0 Se: 1 T: 0 sS: 11 sZ: 91 aZ: 66 Modulliste: (Energieleitungsummantlung, Sicherheitsschotten, TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
